"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"Title: trafficdeaths"
"ICD-10 Codes: V01-V99 (Transport accidents)"
"Group By: Cause of death"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 8, 2023 2:55:54 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 8, 2023 2:55:54 PM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"3. The population figures for year 2021 are single-race estimates of the July 1 resident population, from the Vintage 2021"
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates"
"of the July 1 resident population, from the Vintage 2020 postcensal series released by the Census Bureau on July 27, 2021. The"
"population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal"
"series released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the"
"July 1 resident population, from the Vintage 2018 postcensal series released by the Census Bureau on June 20, 2019."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"5. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"6. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"7. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes."
"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Pedestrian injured in collision with pedal cycle, traffic accident"	"V01.1"	15	1316784825	Unreliable
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident"	"V02.0"	15	1316784825	Unreliable
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	149	1316784825	0.0
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	680	1316784825	0.1
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	9860	1316784825	0.7
	"Unspecified whether traffic or nontraffic accident"	"V03.9"	40	1316784825	0.0
	"Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident"	"V04.0"	199	1316784825	0.0
	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	845	1316784825	0.1
	"Unspecified whether traffic or nontraffic accident"	"V04.9"	16	1316784825	Unreliable
	"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident"	"V05.0"	96	1316784825	0.0
	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	134	1316784825	0.0
	"Unspecified whether traffic or nontraffic accident"	"V05.9"	1464	1316784825	0.1
	"Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident"	"V06.0"	17	1316784825	Unreliable
	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	768	1316784825	0.1
	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	122	1316784825	0.0
	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	17460	1316784825	1.3
	"Pedestrian injured in unspecified traffic accident"	"V09.3"	74	1316784825	0.0
	"Pedestrian injured in unspecified transport accident"	"V09.9"	265	1316784825	0.0
	"Pedal cyclist injured in collision with other pedal cycle, unspecified pedal cyclist injured in traffic accident"	"V11.9"	14	1316784825	Unreliable
	"Pedal cyclist injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident"	"V12.4"	28	1316784825	0.0
	"Pedal cyclist injured in collision with two- or three-wheeled motor vehicle, unspecified pedal cyclist injured in traffic accident"	"V12.9"	19	1316784825	Unreliable
	"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V13.4"	619	1316784825	0.0
	"Pedal cyclist injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V13.5"	11	1316784825	Unreliable
	"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident"	"V13.9"	632	1316784825	0.0
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V14.4"	69	1316784825	0.0
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in traffic accident"	"V14.9"	76	1316784825	0.0
	"Pedal cyclist injured in collision with railway train or railway vehicle, driver injured in traffic accident"	"V15.4"	10	1316784825	Unreliable
	"Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist injured in traffic accident"	"V15.9"	26	1316784825	0.0
