"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"Title: trafficdeathsweekday"
"ICD-10 Codes: V01-V99 (Transport accidents)"
"Group By: Cause of death; Weekday"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 8, 2023 7:14:03 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 8, 2023 7:14:03 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#NotApplicableRates."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"4. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"5. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"6. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes."
"Notes"	"Cause of death"	"Cause of death Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"Sunday"	"1"	22	Not Applicable	Not Applicable
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"Monday"	"2"	19	Not Applicable	Not Applicable
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"Tuesday"	"3"	23	Not Applicable	Not Applicable
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"Wednesday"	"4"	17	Not Applicable	Not Applicable
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"Thursday"	"5"	20	Not Applicable	Not Applicable
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"Friday"	"6"	22	Not Applicable	Not Applicable
	"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"	"V02.1"	"Saturday"	"7"	26	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"Sunday"	"1"	96	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"Monday"	"2"	101	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"Tuesday"	"3"	91	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"Wednesday"	"4"	97	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"Thursday"	"5"	90	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"Friday"	"6"	79	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	"Saturday"	"7"	126	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"Sunday"	"1"	1349	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"Monday"	"2"	1367	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"Tuesday"	"3"	1319	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"Wednesday"	"4"	1325	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"Thursday"	"5"	1397	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"Friday"	"6"	1532	Not Applicable	Not Applicable
	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	"Saturday"	"7"	1571	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident"	"V04.0"	"Monday"	"2"	30	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident"	"V04.0"	"Tuesday"	"3"	44	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident"	"V04.0"	"Wednesday"	"4"	45	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident"	"V04.0"	"Thursday"	"5"	25	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident"	"V04.0"	"Friday"	"6"	28	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident"	"V04.0"	"Saturday"	"7"	19	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	"Sunday"	"1"	68	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	"Monday"	"2"	128	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	"Tuesday"	"3"	135	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	"Wednesday"	"4"	144	Not Applicable	Not Applicable
